Team	RPREC	NDCG	CLICKS	DATE
BeautyandBeast	0.172425	0.329254	2.8152	2018-06-1721:16:27
BeautyandBeast	0.176246	0.307093	2.7526	2018-06-2114:42:04
BeautyandBeast	0.175954	0.315431	2.9678	2018-06-2223:59:13
BeautyandBeast	0.175103	0.322411	2.8866	2018-06-2321:21:39
BeautyandBeast	0.173939	0.323351	2.9498	2018-06-2423:08:19
BeautyandBeast	0.203757	0.364857	2.3496	2018-06-2523:56:16
BeautyandBeast	0.203757	0.364857	2.3496	2018-06-2623:37:18
BeautyandBeast	0.204311	0.368212	2.3334	2018-06-2722:06:04
BeautyandBeast	0.205336	0.368467	2.3092	2018-06-2823:33:00
BeautyandBeast	0.203903	0.370709	2.2634	2018-06-2923:45:43
BeautyandBeast	0.177343	0.322212	2.9556	2018-06-3020:37:39
BeginNewYear	0.000114	0.00056	49.319	2018-05-1503:03:36
BeginNewYear	0.000333	0.001408	46.8302	2018-05-1606:41:08
BeginNewYear	0.008956	0.039757	17.718201	2018-05-1706:31:12
BeginNewYear	0.017867	0.039757	17.718201	2018-05-1706:31:12
BeginNewYear	0.006464	0.005616	40.036999	2018-06-1308:12:16
BeginNewYear	0.006464	0.005616	40.037	2018-06-1308:12:16
BeginNewavitoYear	0.01493	0.067491	14.1182	2018-05-0301:41:40
CECL	0.194422	0.348088	2.6606	2018-06-2812:49:01
CECL	0.184686	0.332513	3.1106	2018-06-2919:00:34
CISA	0.11361	0.260557	4.1916	2018-05-0803:57:47
CISA	0.143745	0.310509	3.1522	2018-05-1221:48:24
CISA	0.126385	0.245224	8.665	2018-05-1922:51:32
CISA	0.075974	0.145472	24.0068	2018-05-2114:00:19
CISA	0.120965	0.230616	11.854	2018-05-2215:44:19
CISA	0.146973	0.316178	3.2214	2018-06-0523:57:41
CISA	0.172289	0.316178	3.2214	2018-06-0523:57:41
C_Research_DM	8.8e-05	0.000363	49.888	2018-05-1600:21:11
C_Research_DM	0.000277	0.001302	47.244801	2018-05-1613:44:26
C_Research_DM	0.001637	0.001302	47.244801	2018-05-1613:44:26
C_Research_DM	0.001637	0.001302	47.2448	2018-05-1613:44:26
CreamyFireflies	0.181513	0.333195	2.8136	2018-05-0922:01:26
CreamyFireflies	0.060862	0.153838	9.9626	2018-05-1117:40:55
CreamyFireflies	0.180868	0.33175	2.6342	2018-05-1218:40:10
CreamyFireflies	0.182761	0.339651	2.4814	2018-05-1323:46:22
CreamyFireflies	0.182962	0.363555	2.3786	2018-05-1416:19:52
CreamyFireflies	0.186337	0.36717	2.4078	2018-05-1516:08:36
CreamyFireflies	0.186132	0.36676	2.351	2018-05-1622:59:30
CreamyFireflies	0.031391	0.071557	25.209	2018-05-1716:19:09
CreamyFireflies	0.02356	0.055892	27.6252	2018-05-1817:01:36
CreamyFireflies	0.168013	0.312465	6.3234	2018-05-2100:36:39
CreamyFireflies	0.159932	0.316713	6.09	2018-05-2121:05:59
CreamyFireflies	0.183741	0.363155	2.9758	2018-05-2221:20:48
CreamyFireflies	0.183237	0.361937	2.9428	2018-05-2321:27:23
CreamyFireflies	0.183726	0.362655	2.7398	2018-05-2417:02:23
CreamyFireflies	0.189911	0.373629	2.0168	2018-05-2814:39:08
CreamyFireflies	0.191177	0.374477	2.0008	2018-06-0414:24:05
CreamyFireflies	0.191129	0.374434	1.9954	2018-06-0723:11:42
CreamyFireflies	0.216227	0.374434	1.9954	2018-06-0723:11:42
CreamyFireflies	0.215353	0.378184	2.0122	2018-06-2121:20:59
CreamyFireflies	0.213448	0.372333	2.0446	2018-06-2400:45:54
CreamyFireflies	0.216165	0.380163	1.9878	2018-06-2423:17:40
CreamyFireflies	0.218112	0.382901	1.971	2018-06-2700:46:10
CreamyFireflies	0.218787	0.384267	1.98	2018-06-2800:49:04
CreamyFireflies	0.220651	0.38675	1.981	2018-06-2823:53:14
Csu320	0.001271	0.005377	38.171001	2018-05-1511:20:54
Csu320	0.008464	0.037576	17.3514	2018-05-1612:12:36
Csu320	0.009632	0.040014	17.132799	2018-05-1708:40:22
Csu320	0.019051	0.040014	17.132799	2018-05-1708:40:22
Csu320	0.006464	0.005616	40.036999	2018-06-1307:56:33
Csu320	0.003633	0.002304	44.8298	2018-06-1912:02:35
Csu320	0.000974	0.000276	50.111599	2018-06-2512:11:12
Csu320	0.027668	0.070647	13.6826	2018-06-2709:02:19
Csu320	0.001078	0.001393	50.059601	2018-06-3008:32:13
Csu320	0.001078	0.001393	50.0596	2018-06-3008:32:13
D2KLab	0.092019	0.205072	5.9604	2018-05-0308:01:49
D2KLab	0.096172	0.216504	4.9532	2018-06-0321:02:57
D2KLab	0.11763	0.216504	4.9532	2018-06-0321:02:57
D2KLab	0.161645	0.298683	3.2606	2018-06-1819:57:35
D2KLab	0.171421	0.312403	3.2508	2018-06-2312:51:40
D2KLab	0.180016	0.321182	3.2136	2018-06-2418:10:19
D2KLab	0.178687	0.320983	3.2174	2018-06-2518:05:30
D2KLab	0.178442	0.319132	3.2286	2018-06-2618:16:10
D2KLab	0.174589	0.312924	3.486	2018-06-2717:40:48
D2KLab	0.180016	0.321182	3.2136	2018-06-2818:44:50
D2KLab	0.181343	0.326969	3.1042	2018-06-2918:20:51
D3M_UofT	0.140298	0.283741	4.047	2018-05-0920:25:48
D3M_UofT	0.137625	0.27801	3.9614	2018-05-1022:29:22
D3M_UofT	0.1402	0.284937	4.011	2018-05-1123:32:15
D3M_UofT	0.139723	0.282497	3.9868	2018-05-1323:36:44
D3M_UofT	0.145032	0.294926	3.8712	2018-05-3015:55:26
D3M_UofT	0.166096	0.337602	3.4464	2018-06-0721:22:06
D3M_UofT	0.191737	0.339564	3.468	2018-06-0821:29:06
D3M_UofT	0.193957	0.341077	3.3902	2018-06-1122:13:18
D3M_UofT	0.196301	0.343844	2.8264	2018-06-1220:07:15
D3M_UofT	0.19413	0.349066	3.1578	2018-06-2620:03:03
D3M_UofT	0.150793	0.26719	17.153799	2018-06-2822:05:04
D3M_UofT	0.215085	0.376407	5.6338	2018-06-2919:45:52
DGTeam	0.042723	0.126443	8.8168	2018-05-1711:09:12
DGTeam	0.098236	0.216728	6.018	2018-05-2706:15:36
DMIS	0.100263	0.241041	6.7706	2018-05-0923:41:15
DMIS	0.107458	0.252279	6.4872	2018-05-1023:50:59
DMIS	0.113571	0.258587	4.1316	2018-05-2300:08:36
DMIS	0.132117	0.291255	3.6474	2018-05-2323:46:50
DMIS	0.112117	0.25004	4.5578	2018-06-0500:25:38
DMIS	0.13549	0.287869	6.4026	2018-06-0700:42:33
DMIS	0.152127	0.291945	4.2738	2018-06-0919:58:14
DMIS	0.157218	0.301647	3.9792	2018-06-1401:59:51
DMIS	0.161931	0.309341	4.2396	2018-06-1601:48:33
DMIS	0.170151	0.320258	3.3756	2018-06-1804:20:16
DMIS	0.171825	0.323013	3.3766	2018-06-2317:51:05
DMIS	0.171903	0.322398	3.3954	2018-06-2505:19:07
DMIS	0.174056	0.329778	3.3134	2018-06-2614:35:55
DMIS	0.164932	0.317852	3.352	2018-06-2715:00:06
DMIS	0.173507	0.329497	3.2858	2018-06-2823:56:32
DMIS	0.175756	0.320743	3.3386	2018-06-2908:54:13
DMIS	0.164932	0.317852	3.352	2018-06-3013:26:43
Dark_Horse_1	0.019724	0.039145	19.413	2018-06-3007:11:00
DefinitiveTurtles	0.126461	0.284073	3.4752	2018-05-1015:15:35
DefinitiveTurtles	0.002131	0.008314	48.076	2018-05-1113:14:01
DefinitiveTurtles	0.151531	0.322535	3.5122	2018-05-1920:01:20
DefinitiveTurtles	0.152429	0.323554	3.5406	2018-05-2419:09:27
DefinitiveTurtles	0.073326	0.175563	8.8434	2018-06-0320:58:01
DefinitiveTurtles	0.175899	0.359225	2.3214	2018-06-0610:43:50
DefinitiveTurtles	0.200127	0.359225	2.3214	2018-06-0610:43:50
DefinitiveTurtles	0.20185	0.361077	2.319	2018-06-1618:22:53
DefinitiveTurtles	0.20185	0.361077	2.319	2018-06-2115:43:53
DefinitiveTurtles	0.203393	0.364068	2.3042	2018-06-2207:39:57
DefinitiveTurtles	0.203488	0.36457	2.2776	2018-06-2311:20:27
DefinitiveTurtles	0.20769	0.374386	2.1806	2018-06-2418:14:56
DefinitiveTurtles	0.208384	0.375349	2.156	2018-06-2517:49:52
DefinitiveTurtles	0.207745	0.374369	2.1522	2018-06-2622:25:47
DefinitiveTurtles	0.208356	0.375582	2.1654	2018-06-2921:04:05
DieAbenteurer	0.016455	0.070213	14.0006	2018-05-2312:50:10
DieAbenteurer	0.143934	0.309553	3.2196	2018-06-0721:33:45
DieAbenteurer	0.167723	0.309553	3.2196	2018-06-0814:26:54
DieAbenteurer	0.145289	0.291711	3.6348	2018-06-2208:50:45
DieAbenteurer	0.16775	0.309552	3.2164	2018-06-2408:19:11
Elysium	0.171978	0.349802	2.579	2018-05-0514:49:12
Elysium	0.171978	0.349802	2.579	2018-05-1019:58:33
Elysium	0.174971	0.358333	2.4768	2018-05-1101:22:54
Elysium	0.198619	0.358333	2.4768	2018-05-1101:22:54
FIND	0.14331	0.306439	5.4492	2018-05-0823:56:23
FIND	0.149945	0.322161	3.8002	2018-05-1001:09:35
FIND	0.159717	0.338914	2.6344	2018-05-1123:26:13
FIND	0.162554	0.343205	2.293	2018-05-1308:37:56
FIND	0.145517	0.319261	3.4038	2018-05-1423:47:25
FIND	0.164564	0.34612	2.3514	2018-05-1600:36:44
FIND	0.190448	0.34612	2.3514	2018-05-1600:36:44
FIND	0.187389	0.342315	2.3486	2018-06-1200:27:10
FMI_For_Life	0.015952	0.069189	14.4024	2018-06-0507:18:05
FMI_For_Life	0.027219	0.069189	14.4024	2018-06-0507:18:05
FMI_For_Life	0.058523	0.102588	12.2542	2018-07-0108:23:48
Fire	0.059073	0.128845	15.1528	2018-06-2823:13:31
FishInMedi	0.150584	0.28091	3.726	2018-06-2617:31:55
FishInMedi	0.163146	0.3038	2.8822	2018-06-2900:47:53
FishInMedi	0.173957	0.322556	2.356	2018-07-0105:54:31
FreshwaterSea	0.167571	0.351859	2.1334	2018-05-0608:15:04
FreshwaterSea	0.167772	0.351429	2.24	2018-05-1621:16:54
FreshwaterSea	0.167035	0.350619	2.2502	2018-05-2917:25:50
FreshwaterSea	0.167855	0.351426	2.2552	2018-06-0508:18:47
FreshwaterSea	0.154205	0.329404	2.3404	2018-06-0607:58:19
FreshwaterSea	0.193814	0.348593	2.2586	2018-06-1016:05:32
FreshwaterSea	0.193368	0.351426	2.2552	2018-06-1117:24:30
FreshwaterSea	0.193346	0.351436	2.2604	2018-06-1307:59:15
FreshwaterSea	0.192552	0.349924	2.331	2018-06-1420:23:29
FreshwaterSea	0.1954	0.351614	2.241	2018-06-2906:53:28
Gecko	0.097429	0.210887	8.623	2018-05-2412:33:49
Gecko	0.118032	0.210887	8.623	2018-05-2412:33:49
