Team	RPREC	NDCG	CLICKS	DATE
glawardes	0.161671	0.301813	4.4488	2018-05-1608:00:01
helloworld!	0.22403	0.394371	1.9276	2018-06-3014:45:07
hims	0.214827	0.376388	5.639	2018-06-2919:44:57
hitech1414	0.068617	0.13222	14.8566	2018-06-3019:01:08
insightify	0.16477	0.2939	6.2988	2018-06-2721:39:23
jtrs	0.103777	0.161483	6.5448	2018-06-1600:54:10
minrva	0.056733	0.085486	14.0374	2018-06-1409:35:33
mpac	0.196626	0.347818	4.2416	2018-06-3005:22:04
popularitymatters	0.046561	0.1007	13.518	2018-06-1815:59:48
sam	0.005809	0.006103	38.0906	2018-06-2200:40:00
sok	0.005038	0.003705	41.3076	2018-05-0321:24:46
songscuncert	0.174063	0.310039	3.3512	2018-06-1412:45:13
strawberry	0.001571	0.00058	49.23	2018-06-2721:56:10
team_acp	0.001471	0.000301	50.192	2018-06-0117:03:47
teamrozik	0.140328	0.256296	6.873	2018-06-3011:27:50
ucl-msc	0.000426	1.9e-05	50.9328	2018-06-3013:01:32
vl6	0.224565	0.395932	1.822	2018-06-2920:14:51
風立ちぬ	0.197046	0.354398	2.18	2018-06-1802:44:20
