2,1110305.006011703
3,869154.5747638402
4,754304.6079244845
5,667881.0290309825
6,608977.2174459391
7,537040.1170533934
8,496422.4603554345
9,461035.93025523314
10,436765.17301914265
11,415742.9348557597
12,403507.39030252316
13,382567.1952301171
14,373350.5158243
15,360981.01762312854
16,350916.3243304805
17,341959.4732063163
18,335395.16388472763
19,326383.92863341287
20,320670.23850796267
21,315891.99126703374
22,309078.45701523905
23,301844.59599264426
24,295902.6548342851
25,292632.83740988775
26,287778.0936841734
27,283726.37776873226
28,280078.5045771098
29,277494.0375803582
30,272532.8485508722
31,269141.86176589684
32,265069.8538800026
33,262223.687582177
34,259562.91103382118
35,256555.12182201724
36,253637.7857412709
37,251144.39450576785
38,249065.8507806212
39,246684.2038491225
40,245093.81033683178
41,242607.9939108423
42,240880.4336782024
43,238687.3309155015
44,236687.44038543117
