Team	RPREC	NDCG	CLICKS	DATE
STORMtroopers	0.157777	0.28704	3.0494	2018-06-2123:12:15
STORMtroopers	0.158675	0.288461	3.0692	2018-06-2218:47:23
STORMtroopers	0.15905	0.290105	3.0362	2018-06-2321:47:13
TUW-1525567	0.034831	0.100702	13.518	2018-06-0712:46:19
TUW-1525567	0.046561	0.100702	13.518	2018-06-0712:46:19
TUW-1525567	0.171675	0.316798	2.552	2018-06-1920:50:41
TUW-1525567	0.192771	0.351004	2.2184	2018-06-2615:29:03
TUW-1525567	0.191087	0.347952	2.5152	2018-06-2812:25:57
TUW-e00828324	0.161425	0.292768	4.659	2018-06-2619:33:09
TUW-mgabr	0.025545	0.066776	14.5356	2018-06-2611:16:00
TeamRadboud	0.141416	0.307124	2.8316	2018-05-0312:17:26
TeamRadboud	0.163901	0.342939	2.6488	2018-05-1609:54:03
TeamRadboud	0.169231	0.352848	2.3238	2018-06-0109:03:37
TeamRadboud	0.194972	0.352848	2.3238	2018-06-0109:03:37
TeamRadboud	0.195616	0.353504	2.2566	2018-06-2606:59:44
TeamRadboud	0.198224	0.356783	2.331	2018-06-2721:52:08
TeamRadboud	0.198239	0.356898	2.3442	2018-06-2818:35:16
TomWang	0.205274	0.368302	2.3094	2018-06-2823:30:18
Trailmix	0.198173	0.356726	2.4484	2018-06-2219:14:32
Trailmix	0.197286	0.350951	3.2472	2018-06-2423:33:55
Trailmix	0.200721	0.358466	2.686	2018-06-2523:16:58
Trailmix	0.199849	0.35584	2.867	2018-06-2623:50:55
Trailmix	0.205087	0.369938	2.2826	2018-06-2823:31:04
WeirdEight	0.203409	0.364501	2.53	2018-06-2722:34:46
WeirdEight	0.205272	0.369544	2.3036	2018-06-2823:31:55
WreckSys	0.046559	0.100697	13.518	2018-06-1321:26:24
WreckSys	0.000112	0.0	51.0	2018-06-1506:40:55
WreckSys	0.039316	0.082654	18.136999	2018-06-1704:27:11
WreckSys	0.039316	0.082654	18.137	2018-06-1704:27:11
